ID;IDC;"COMMUNE"
916;1701;"Djelfa"
917;1714;"El idrissia"
919;1703;"El Guedid"
920;1726;"Charef"
923;1727;"Beni Yacoub"
924;1731;"Ain Oussera"
925;1721;"Guernini"
926;1719;"Sidi Ladjel"
927;1733;"Hassi Fedoul"
928;1711;"El Khemis"
929;1708;"Birine"
931;1732;"Benhar"
932;1720;"Had Sahary"
933;1709;"Bouira Lahdab"
934;1735;"Ain Fekka"
935;1704;"Hassi Bahbah"
939;1728;"Zaafrane"
940;1716;"Hassi el Euch"
941;1705;"Ain Maabed"
942;1725;"Dar Chioukh"
946;1713;"MLiliha"
947;1712;"Sidi Baizid"
948;1717;"Messad"
951;1718;"Guettara"
952;1729;"Deldoul"
953;1706;"Sed Rahal"
954;1722;"Selmana"
956;1724;"Oum Laadham"
957;1702;"Mouadjebar"
958;1730;"Ain el Ibel"
962;1710;"Zaccar"
963;1715;"Douis"
964;1723;"Ain Chouhada"
965;1736;"Tadmit"
967;1707;"Faidh el Botma"
968;1734;"Amourah"